comment,author,time,Sentiment
nikki haley prediction presidential race first party retire 80yearold candidate going one win election,@LeoPard-HQ,10 hours ago (edited),Positive
man understanding american dynamic trump lost yesterday totally self absorbed harris lazer focused betterment lived experience american people,@NiciRichter1,4 hours ago,Positive
american new candidate prosecutor effectively call trump proposed policy like controlling food price gauging 25000 credit first time home buyer paid family leave nationwide woman color come middle class family woman regaining control body since regan america inching closer closer oligarchy citizen united 2010 expedited process everything rest unable buy home afford grocery second gilded age need someone policy value akin ford roosevelt come stop need someone restore woman right believe kamala person alone fed inequality,@Ben-ru9ju,10 hours ago (edited),Positive
commentary seems ignore real issue abortion right separation religion state harris ensure national abortion ban also ensure christian nationalism win two big reason vote right,@dvd53,8 hours ago,Positive
think lot american also want see donald trump finish court case see law applied without becoming president,@daveking-sandbox9263,9 hours ago,Positive
loverly see two brit unable digest kamalas bright happy outlook,@arlrmr7607,8 hours ago,Positive
still lot work harris 2024 vote blue put work america make woman next president win,@lfstudio1333,7 hours ago,Positive
welli live tell first hand people cant wait send trump supporter message come nov 4th youre fired,@edwsc3,10 hours ago,Positive
harris walz 2024 together keep trump power craves everyone america legally vote must register vote harris important election moden history,@jakebush9411,10 hours ago (edited),Positive
good democrat stop buying tesla car,@Edje38,9 hours ago,Positive
canadian dont vote behind kamala harris new president united state,@claudepilon5766,7 hours ago,Positive
fascinating point raised episode actually kamala harris sheer relief could still run slick wave positivity,@DanielGurney,9 hours ago,Positive
two definitely date spitting,@CaptivaIsland1944,8 hours ago,Positive
excited san francisco liberal plan vote november anyone trump,@philhill6198,8 hours ago,Positive
hello across pond appreciate perspective dont worryprices fallen grocery storesharply shopped yesterday price magically fallen overnight right vp harris threatened tax penalty price gouging imagine big grocer big oil posted record profit last couple year indicating cost remained lowand yet raised price exponentially big difference true inflation price gouging,@darlameeks,5 hours ago,Positive
harris need campaign bbc free,@steveblomefield9513,7 hours ago,Positive
guy low key maga fan boy,@2kt2000,9 hours ago,Positive
tim walz made difference many people love recognise patriot,@mustafamar1437,5 hours ago,Positive
dear american people u must give vote trump inorder protect country protect belivesto protect nation migrates hidden agenda,@jainmj7670,6 hours ago,Positive
best coming educated trump lie anything keep promise trump chance better person job harris people,@leeannebishop51,10 hours ago,Positive
harris ready lose weight get healthy crowd utter silence,@VitalityMassage,2 hours ago,Positive
uhhh florida play nowtheres total 7 state play 9 election day 70yo republican declares earthquakelandslide,@roypfeiffer4442,7 hours ago,Positive
well part care mickey mouse democratic ticket happy vote instead trump,@rubenc6369,7 hours ago,Positive
two bbc analyst game get grip quantum kamala harris achieved career leader groundbreaker many level solid well documented track record many excellent youtube video kh holding ground going outwit outsmart outplay red tie old brain meltdown,@NiciRichter1,4 hours ago,Positive
fast remember popular vote winning u election theyre several election recently people voted losing candidate also guarantee potential voter canvassed actually go vote,@maszlagma,9 hours ago,Positive
shes already provided detail economic plan come well election shes candidate week keep,@TMichael66,8 hours ago (edited),Positive
please brit strand trump remember boris trump friend look,@SwisstedChef2018,3 hours ago,Positive
well know poll black chicago 200100 ppl voting trump,@JefferyPickett-eu6qo,7 hours ago,Positive
darn right time peace quiet,@catalinacurio,10 hours ago,Positive
two saying kamala little detail talk detail point actually day ago maybe filmed trump never talk policy detail closest get big beautiful plan 2 week,@JBuchmann,6 hours ago,Positive
unless believe made number,@JT_Gamble,9 hours ago,Positive
go harris go crowd love doubt listen carefully could lose either away get rid trump trash,@leeannebishop51,10 hours ago,Positive
